no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl
63,62,복을 가져다주세요,글: 임병희 ;그림: 강은경,아람,,9788962618891,74300,30,300,사회과학 > 사회과학 > 사회과학,https://bookthumb-phinf.pstatic.net/cover/069/600/06960039.jpg?type=m1&udate=20140317, https://data4library.kr/bookV?seq=2799446
64,62,집게발이 있는 게와 가재,글: 양미진 ;그림: 전상우,한국톨스토이,,9788963295237,74400,38,495,"자연과학 > 동물학 > 절족동물, 곤충류",https://bookthumb-phinf.pstatic.net/cover/106/527/10652732.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800713
65,62,괴물이 나타났다! - 동물,"전민희 (글), 문종성 (그림), 김원 (감수)",한국톨스토이,2014,9788963296289,,49,,,http://image.aladin.co.kr/product/4296/76/cover/8963296288_1.jpg, https://data4library.kr/bookV?seq=2800812
66,66,하마를 목욕시켜 주는 동물은? :동물들의 특별한 공생 관계,"스티브 젠킨스,황주선 옮김",웅진씽크빅,2012,9788901142647,74080,,491,자연과학 > 동물학 > 일반 동물학,https://bookthumb-phinf.pstatic.net/cover/068/565/06856502.jpg?type=m1&udate=20180619, https://data4library.kr/bookV?seq=2378643
68,66,동물말을 알아듣는 아이,글쓴이: 草黨글방 ;그린이: 한미경,꼬네상스,2008,9788958865681,74810,68,813.5,문학 > 한국문학 > 소설,, https://data4library.kr/bookV?seq=2419970
69,66,붕붕 꿀을 좋아하는 꿀벌,고수산나,한국톨스토이,2016,9788963294889,,3,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652703.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800679
70,66,봄의 손님 제비와 뻐꾸기,유영진,한국톨스토이,2016,9788963295152,,30,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652726.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800705
71,66,금붕어,글: 이재희 ;그림: 김용옥,통큰세상,,9788965092513,74400,53,400,자연과학 > 자연과학 > 자연과학,http://image.aladin.co.kr/product/6961/36/cover/8965092515_1.jpg, https://data4library.kr/bookV?seq=2804787
72,72,찾아봐 찾아봐 :동물,글·그림: 김현,한솔교육,2011,9788953582729,63800,,490,자연과학 > 동물학 > 동물학,https://bookthumb-phinf.pstatic.net/cover/067/516/06751660.jpg?type=m1&udate=20111023, https://data4library.kr/bookV?seq=1209963
73,72,점박이 무당벌레와 깜빡깜빡 밧딧불이,이상배 글;주요 사진: 이수영;류동필 그림,,2010,9788963294940,74400,9,408,"자연과학 > 자연과학 > 전집, 총서",, https://data4library.kr/bookV?seq=2800684
74,72,힘세고 커다란 곰,조경숙,한국톨스토이,2016,9788963294988,,13,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652710.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800688
75,75,동물원에 간 다비와 루비,"글·그림: 호셉 푸홀,번역: 유순도",교원,c200,9788921441454,74370,25,375.1,사회과학 > 교육학 > 유아 및 초등교육,, https://data4library.kr/bookV?seq=2658606
76,75,엄마는 게임 수업 중,박현숙 글 ;이상규 그림,좋은책신사고 좋은책어린이,2013,9788928307326,74810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/2803/33/cover/8928307325_1.jpg, https://data4library.kr/bookV?seq=2645765
77,75,개굴개굴 개구리,양미진,한국톨스토이,2016,9788963295299,,44,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652738.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800719
78,75,나는 다른 동물이면 좋겠다,글: 베르너 홀츠바르트 ;옮긴이: 박여명,아름다운사람들,2012,9788965132165,13850,,853,문학 > 독일문학 > 소설,http://image.aladin.co.kr/product/2152/69/cover/8965132169_2.jpg, https://data4library.kr/bookV?seq=1904765
79,75,너절씨,로저 하그리브스 지음|박인용 옮김.,아이다움,2011,9791185064369,,8,,,, https://data4library.kr/bookV?seq=2861914
80,80,홍학·공작,글: 최유성 ;그림: 이창준,교원,2010,9788921451637,74400,30,472,자연과학 > 생물과학 > 생물학,, https://data4library.kr/bookV?seq=2749850
81,80,아하! 바다 동물,애플비 [편],애플비,2010,9788926205624,74370,,490,자연과학 > 동물학 > 동물학,http://image.aladin.co.kr/product/793/9/cover/8926205622_1.jpg, https://data4library.kr/bookV?seq=2755425
82,80,이코모의 비밀,글: 아녜스 드 레스트라드 ;그림: 니콜라 뒤포,글뿌리,c200,9788960617322,74800,33,808.3,"문학 > 문학 > 전집, 총서",, https://data4library.kr/bookV?seq=2659092
83,80,토리 동물사전,글: 조승현 ;그림: 크리스토퍼 코어,여원미디어·한국가드너,2010,9788961102377,74370,50,082,"총류 > 일반 전집, 총서 > 2인 이상의 일반 전집, 총서",, https://data4library.kr/bookV?seq=2795571
84,80,하늘의 왕 수리와 매,이상배,한국톨스토이,2016,9788963295138,,28,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652724.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800703
85,85,아하! 농장 동물,애플비 [편],애플비,2010,9788926205600,74370,,490,자연과학 > 동물학 > 동물학,http://image.aladin.co.kr/product/793/9/cover/8926205606_1.jpg, https://data4library.kr/bookV?seq=2573610
86,85,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,9788937839702,77400,33,400,자연과학 > 자연과학 > 자연과학,https://bookthumb-phinf.pstatic.net/cover/097/075/09707597.jpg?type=m1&udate=20151021, https://data4library.kr/bookV?seq=2885064
88,85,(일곱 마리) 눈먼 생쥐가 만난 동물은?,글: 이상교 ;그림: 남주현,북이십일 을파소,2012,9788950936839,74370,9,410,자연과학 > 수학 > 수학,http://image.aladin.co.kr/product/1977/55/cover/8950936836_1.jpg, https://data4library.kr/bookV?seq=1875993
90,85,둘이 하나로,글: 이상교 ;그림: 김은미,아람,[201,9788962619157,74300,56,300,사회과학 > 사회과학 > 사회과학,https://bookthumb-phinf.pstatic.net/cover/069/600/06960013.jpg?type=m1&udate=20140314, https://data4library.kr/bookV?seq=2799472
91,85,흔들흔들 코가 긴 코끼리,유영진,한국톨스토이,2016,9788963294995,,14,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652711.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800689
92,85,오징어와 문어 (흐느적 흐느적),고수산나,한국톨스토이,2016,9788963295244,,39,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652733.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800714
93,85,닭,글: 유효진 ;그림: 원유일,통큰세상,,9788965092285,74400,30,400,자연과학 > 자연과학 > 자연과학,http://image.aladin.co.kr/product/6962/95/cover/8965092280_2.jpg, https://data4library.kr/bookV?seq=2804764
94,94,사랑해 주세요,글: 이상교 ;그림: 최윤경,아람,[201,9788962618808,74300,21,300,사회과학 > 사회과학 > 사회과학,https://bookthumb-phinf.pstatic.net/cover/069/600/06960047.jpg?type=m1&udate=20140313, https://data4library.kr/bookV?seq=2799437
95,94,(유네스코 선정) 한국의 세계 문화유산,"글: 안다미로,꾸밈: 전경희",아람,[201,9788962618921,74300,33,300,사회과학 > 사회과학 > 사회과학,https://bookthumb-phinf.pstatic.net/cover/069/600/06960035.jpg?type=m1&udate=20140317, https://data4library.kr/bookV?seq=2799449
96,94,장님새우는 내 친구 - 동물,"최정희 (글), 장정오 (그림), 김원 (감수)",한국톨스토이,2014,9788963296265,,47,,,http://image.aladin.co.kr/product/4297/63/cover/8963296261_1.jpg, https://data4library.kr/bookV?seq=2800810
97,94,토비와 역사 속으로,발 와일딩 글 ;김영선 옮김,이퍼블릭,2013,9788964809976,74840,4,843,문학 > 영미문학 > 소설,http://image.aladin.co.kr/product/2478/21/cover/8964809971_1.jpg, https://data4library.kr/bookV?seq=2803993
98,94,다람쥐,글: 이붕 ;그림: 이승엽,통큰세상,,9788965092261,74400,28,400,자연과학 > 자연과학 > 자연과학,http://image.aladin.co.kr/product/6962/95/cover/8965092264_2.jpg, https://data4library.kr/bookV?seq=2804762
99,94,까치,글: 원유순 ;그림: 이창준,통큰세상,[201,9788965092346,74400,36,400,자연과학 > 자연과학 > 자연과학,http://image.aladin.co.kr/product/6962/95/cover/8965092345_2.jpg, https://data4library.kr/bookV?seq=2804770
100,100,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011,9788937839689,77400,31,400,자연과학 > 자연과학 > 자연과학,http://image.aladin.co.kr/product/5714/29/cover/8937839687_1.jpg, https://data4library.kr/bookV?seq=2620383
101,100,"동고야, 놀자!",글: 김유리 ;그림: 설은정,아람,[201,9788962618747,74300,15,300,사회과학 > 사회과학 > 사회과학,https://bookthumb-phinf.pstatic.net/cover/069/597/06959709.jpg?type=m1&udate=20140313, https://data4library.kr/bookV?seq=2799431
102,100,꼬꼬는 날고 싶어 - 동물,"양연주 (지은이), 심상정 (그림), 김원 (감수)",한국톨스토이,2014,9788963296135,,34,,,http://image.aladin.co.kr/product/4296/62/cover/896329613x_1.jpg, https://data4library.kr/bookV?seq=2800797
103,100,잠 안자고 뭐 하니? - 동물,"봉현주 (지은이), 정지예 (그림), 김원 (감수)",한국톨스토이,2014,9788963296159,,36,,,http://image.aladin.co.kr/product/4296/65/cover/8963296156_1.jpg, https://data4library.kr/bookV?seq=2800799
105,104,실로 집 짓는 거미,이상배,한국톨스토이,2016,9788963295282,,43,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652737.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800718
106,104,곰,글: 이규희 ;그림: 정병수,통큰세상,,9788965092209,74400,22,400,자연과학 > 자연과학 > 자연과학,http://image.aladin.co.kr/product/6962/95/cover/8965092205_2.jpg, https://data4library.kr/bookV?seq=2804756
107,104,톡톡톡! 알에서 나왔어요,정재은 글 ;홍시영 그림,다우림,,9788994233178,74400,17,400,자연과학 > 자연과학 > 자연과학,, https://data4library.kr/bookV?seq=2840152
108,108,(우당탕 동물 농장의) 그림 한자,글: 벼리강 ;그림: 이창우,그레이트Books(그레이트북스),2014,9788927176350,64710,,711.4,"언어 > 한국어 > 음운, 음성, 문자",http://image.aladin.co.kr/product/3606/87/cover/8927176359_1.jpg, https://data4library.kr/bookV?seq=2604858
109,108,세상에서 가장 멋진 일,글: 김유리 ;그림: 황수민,아람,[201,9788962618730,74300,14,300,사회과학 > 사회과학 > 사회과학,https://bookthumb-phinf.pstatic.net/cover/069/597/06959708.jpg?type=m1&udate=20140313, https://data4library.kr/bookV?seq=2799430
110,108,"아차차, 세금!",글: 김인숙 ;그림: 정주현,아람,[201,9788962619089,74300,49,300,사회과학 > 사회과학 > 사회과학,https://bookthumb-phinf.pstatic.net/cover/069/600/06960020.jpg?type=m1&udate=20140314, https://data4library.kr/bookV?seq=2799465
111,108,수영선수 물개와 바다표범,이상배,한국톨스토이,2016,9788963295107,,25,,,https://bookthumb-phinf.pstatic.net/cover/106/527/10652721.jpg?type=m1&udate=20160615, https://data4library.kr/bookV?seq=2800700
112,108,나는 나의 주인,채인선 글 ;안은진 그림,토토북,2010,9788964960035,73190,,189,철학 > 심리학 > 응용심리학 일반,https://bookthumb-phinf.pstatic.net/cover/062/805/06280530.jpg?type=m1&udate=20170310, https://data4library.kr/bookV?seq=1060966
113,108,작아씨,로저 하그리브스 지음|박인용 옮김.,아이다움,2017,9791185064406,,12,,,, https://data4library.kr/bookV?seq=2861918
114,108,게을러씨,로저 하그리브스 지음|박인용 옮김.,아이다움,2014,9791185064451,,17,,,, https://data4library.kr/bookV?seq=2861923
115,115,Willy the dreamer,Anthony Browne,Walker Books,,9781406313574,90100,,843,문학 > 영미문학 > 소설,http://image.aladin.co.kr/product/275/3/cover/1406313572_1.jpg, https://data4library.kr/bookV?seq=1083692
116,115,동물 농장,지은이: 조지오웰 ;옮긴이: 김기혁,삼성출판사,2013,9788915060128,74800,2,808.3,"문학 > 문학 > 전집, 총서",https://image.aladin.co.kr/product/5218/31/cover/scm3777933439593.jpg, https://data4library.kr/bookV?seq=1954348
117,115,"알았어, 나중에 할게!",박혜숙 글 ;심윤정 그림,좋은책신사고 좋은책어린이,2014,9788928315130,74810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/4431/15/cover/8928315131_1.jpg, https://data4library.kr/bookV?seq=2613051
