추천연월,테마,대상,책제목,주제구분,지은이,발행사,발행년도,ISBN,청구기호
2013-03,,유아,뒤집힌 호랑이,문학,김용철 글·그림,보리,2012,9788984287617,아813.5-12-60
2013-03,,유아,"안녕, 친구야",문학,글·그림: 강풀,웅진씽크빅,2013,9788901153728,아813.7-13-46
2013-03,,유아,이 작은 책을 펼쳐봐,문학,제시 클라우스마이어 글 ;이수지 그림 ;이상희 옮김,비룡소,2013,9788949112350,아843-13-20
2013-02,,유아,서로를 보다,문학,윤여림 글 ;이유정 그림,낮은산,2012,9788989646853,아813.7-12-644
2013-02,,유아,명태를 찾습니다!,순수과학,주강현 글 ;김형근 그림,미래M&B,2012,9788983947109,아497-12-12
2013-02,,유아,"앗, 깜깜해",문학,존 로코 지음 ;김서정 옮김,다림,2012,9788961770576,아843-12-446
2013-01,,유아,"엄마, 잘 갔다 와",문학,이재복 글·그림,사계절출판사,2012,9788958286318,아813.7-12-570
2013-01,,유아,여기가 우리 집이라면 : 세계의 여러 가지 집 이야기,예술,자일스 라로슈 글·그림 ;우순교 옮김,시공사,2012,9788952766854,아617-12-1
2013-01,,유아,먼지가 지구 한 바퀴를 돌아요,순수과학,글: 윤순창 ;그림: 소복이,웅진씽크빅,2012,9788901149523,아400-6-109-34
2012-12,,유아,꽃섬 : 죽음을 이겨 낸 생명의 땅,문학,정하섭 글 ;김세현 그림,웅진씽크빅,2012,9788901143354,아813.7-12-559
2012-12,,유아,수를 사랑한 늑대,순수과학,글: 김세실 ;그림: 김유대,미래엔,2012,9788937846472,아410-11-166-1
2012-12,,유아,장수탕 선녀님,문학,지은이: 백희나,책읽는곰,2012,9788993242706,아813.7-12-539
2012-11,,유아,안테나,문학,글·그린이: 수연,한림출판사,2012,9788970946542,아813.7-12-102
2012-11,,유아,너무 부끄러워!,문학,크리스틴 나우만 빌맹 글 ;마리안느 바르실롱 그림 ;이경혜 옮김,비룡소,2012,9788949112299,아863-12-49
2012-11,,유아,어슬렁 어슬렁 동네 관찰기,문학,글·그림: 이해정,웅진씽크빅,2012,9788901147956,아818-12-31
2012-10,,유아,누나가 좋다,문학,고대영 글 ;한상언 그림,길벗어린이,2012,9788955822007,아813.7-12-269
2012-10,,유아,이거 얼마예요? : 3~7세용 우리 아이 첫 유아 경제 동화,사회과학,"글: 최혜영 ;그림: 한수진,이영림,원유미,유순혜",밝은미래,2012,9788965460596,아813.7-12-269
2012-10,,유아,커졌다!,문학,서현 글·그림,사계절출판사,2012,9788958286219,아813.7-12-395
2012-09,,유아,고릴라 할머니,총류,윤진현 글·그림,웅진씽크빅,2012,9788901144108,아813.7-12-310
2012-09,,유아,사탕공장에 가지 마,문학,손동우 글·그림,책과콩나무,2012,9788994077338,아813.7-12-107
2012-09,,유아,박 부자네 가훈은 대단해,철학,글: 이흔 ;그림: 이종옥,웅진씽크빅,2012,9788901143873,아192-12-2
2012-08,,유아,흰곰,문학,이미정 그림,미래엔,2012,9788937885273,아813.7-12-232
2012-08,,유아,안돼!,문학,글·그림: 마르타 알테스 ;옮긴이: 이순영,북극곰,2012,9788996309390,아843-12-236
2012-08,,유아,뚱이는 날씬해,기술과학,글: 박성근 ;그림: 한상언,웅진씽크빅,2012,9788901137223,아517-12-5
2012-07,,유아,내 머리 왜 이래?,문학,사토 신 글 ;오쿠하라 유메 그림 ;정원민 옮김,루돌프,2012,9788996276630,아833.6-12-244
2012-07,,유아,세상에서 가장 힘이 센 말,문학,이현정 글 ;박재현 그림,맹&앵,2012,9788994198156,아813.7-12-152
2012-07,,유아,칭찬 먹으러 가요,문학,글: 고대영 ; 그림: 김영진,길벗어린이,2012,9788955821970,아813.7-12-139
2012-06,,유아,꼬부랑 할머니가,문학,글: 신경림 ;그림: 윤문영,계수나무,2012,9788989654698,아811.8-12-27
2012-06,,유아,무지개 눈물,문학,강성은 글 ;조원희 그림,황제펭귄,2012,9788996757429,아813.7-12-82
2012-06,,유아,내 마음이 들리니?,문학,일랑 브렌만 기획 ;레나토 모리코니 그림,베틀북,2012,9788984886933,아879-12-1
2012-05,,유아,지구 엄마의 노래,사회과학,글: 윤여림 ;그림: 윤지회,문학동네,2012,9788954617413,아334-12-4
2012-05,,유아,뚜벅뚜벅 우리 신,사회과학,최재숙 글 ;이광익 그림,보림,2012,9788943308841,아381-12-3
2012-05,,유아,할아버지의 이야기 나무,문학,레인 스미스 글·그림 ;김경연 옮김,문학동네,2011,9788954616744,아843-12-104
2012-04,,유아,그리미의 하얀 캔버스,문학,이현주 지음,상,2011,9788991126374,아813.7-12-20
2012-04,,유아,(아주 조금 뚱뚱한 영웅) 뚱보 위고,문학,글: 발레리 베샤르 줄리아니 ;그림: 클로에 르제,북이십일 을파소,2011,9788950934750,아863-12-3
2012-04,,유아,규리 미술관,문학,박철민 글·그림,키다리,2011,9788992365581,아813.7-11-734
2012-04,,유아,나랑만 놀아,문학,이윤진 글 ;이인화 그림,책먹는아이,2012,9788993672190,아813.7-12-55
2012-03,,유아,"빨간지구만들기, 초록지구만들기",문학,한성민 글 그림,파란자전거,2011,9788994258300,아813.7-11-786
2012-03,,유아,곰이 된 아빠,문학,조안나 해리슨 글·그림 ;송호빈 옮김,주니어북스,2011,9788996652038,아843-11-444
2012-03,,유아,우리는 집 지킴이야!,사회과학,글그림: 최미란,사계절출판사,2011,9788958285786,아388-11-24
2012-03,,유아,에헴! 아저씨와 에그! 아줌마,문학,박미정 글·그림,계수나무,2011,9788989654674,아813.7-11-778
2012-02,,유아,"거기, 이 책을 읽는 친구! : 베개 도사 이야기",문학,글·그림: 가가쿠이 히로시 ;옮김: 한영,미세기,2011,9788980712793,아833.6-11-263
2012-02,,유아,누가 그랬어?,순수과학,유근택 글·그림,세용,2012,9788993196245,아472-11-44-1
2012-02,,유아,내 친구 덩치,문학,글·그림: 에드 베르 ;옮김: 장혜경,월드김영사,2011,9788997172122,아843-11-518
2012-02,,유아,소리괴물,문학,이범재 기획·그림 ;위정현 글,계수나무,2011,9788989654667,아813.7-11-529
2012-01,,유아,"꼬리 달린 두꺼비, 껌벅이",문학,김하은 글 ;김준철 그림,해와나무,2011,9788962680805,아813.7-11-661
2012-01,,유아,난 등딱지가 싫어!,문학,요시자와 게이코 글·그림 ;김난주 옮김,찰리북,2011,9788994368092,아833.6-11-152
2012-01,,유아,야! 방학이다,문학,백은영 글 ;김화미 그림,대교,2011,9788939527928,아813.7-11-706
2011-12,,유아,또 읽어 줘!,문학,글·그림: 에밀리 그래빗 ;옮긴이: 공경희,푸른숲,2011,9788971849163,아843-11-417
2011-12,,유아,거짓말 같은 이야기,문학,강경수 글·그림,시공사,2011,9788952760661,아813.7-11-151
2011-12,,유아,도깨비 살려!,문학,글·그림: 무돌,노란돼지,2011,9788994975122,아813.7-10-420-12
2011-11,,유아,가랑잎 대소동,문학,조너선 에메트 글 ;캐롤라인 제인 처치 그림 ;신형건 옮김,푸른책들,2011,9788961702461,아843-11-411
2011-11,,유아,너랑 안 놀아!,문학,제네비에브 코테 글·그림 ;김호정 옮김,책속물고기,2011,9788994621111,아843-11-402
2011-11,,유아,하늘의 별은 누가 뿌렸을까?,문학,이윤지 글·그림,학고재,2011,9788956251424,아813.7-11-123
2011-10,,유아,원숭이 꽃신,문학,정휘창 글 ;박요한 그림,효리원,2011,9788928100675,아813.6-11-56
2011-10,,유아,밖에 나가 놀 거야!,문학,글·그림: 모 윌렘스 ;옮김: 김혜경,푸른숲,2011,9788971849224,아843-11-371-1
2011-10,,유아,숨지마! 텀포드 : 우린 널 사랑해,문학,낸시 틸먼 글·그림 ;신현림 옮김,내인생의책,2011,9788991813854,아843-11-362
2011-10,,유아,진짜 영웅,문학,미야니시 타츠야 글·그림 ;이정선 옮김,베틀북,2011,9788984886834,아833.6-11-119
2011-09,,유아,꼬르륵,문학,이성률 글 ;하영 그림,파란자전거,2011,9788994258225,아813.7-11-330
2011-09,,유아,맛있는 구름 콩 : 두부 이야기,기술과학,임정진 글 ;윤정주 그림,국민서관,2011,9788911029501,아594-11-6
2011-09,,유아,우리 집 일기 예보,문학,하세가와 요시후미 지음 ;김지연 옮김,책속물고기,2011,9788994621104,아833.6-11-100
2011-09,,유아,(조이＆빈스) 나의 단짝친구,문학,"클로에 잉크펜,믹 잉크펜 글·그림 ;서연 옮김",아이맘,2011,9788996281689,아843-11-320
2011-08,,유아,"안녕, 병아리",문학,한해숙 글 ;장호 그림,한림출판사,2011,9788970946252,아813.7-11-339
2011-08,,유아,날고 싶어!,문학,글·그림: 올리버 제퍼스 ;옮긴이: 이승숙,아름다운사람들,2011,9788965130826,아843-11-284
2011-08,,유아,보글보글 지구가 끓고 있어요,기술과학,에밀 위베르 글 ;모 로지에 그림 ;정신재 옮김,명진출판,2011,9788976776723,아539-11-22
2011-07,,유아,진정한 일곱 살,문학,글: 허은미 ;그림: 오정택,양철북,2011,9788963720456,아813.7-11-308
2011-07,,유아,"국숫발, 쪽 후루룩",문학,글: 김영미 ;그림: 마정원,책먹는아이,2011,9788993672176,아813.7-11-261
2011-07,,유아,세상을 바꾼 아이,문학,글: 앤디 앤드루스 ;그림: 필립 허스트 ;옮김: 김서정,밝은미래,2011,9788965460336,아843-11-130
2011-06,,유아,겁쟁이 우리 아빠,문학,글쓴이: 티베 벨드캄프 ;그린이: 필립 호프만 ;옮긴이: 김현좌,해솔,2011,9788992883146,아859.3-11-5
2011-06,,유아,목욕하기 싫어! : 성장이야기,문학,키스 하비 글 ;로렌 비어드 그림 ;해밀뜰 옮김,예원미디어,2011,9788991413597,아843-11-111
2011-06,,유아,"그래, 책이야!",문학,레인 스미스 지음 ;김경연 옮김,문학동네,2011,9788954614214,아843-11-74
2011-06,,유아,아모스 할아버지가 아픈 날,문학,지은이: 필립 C. 스테드 ;그린이: 에린 E. 스테드 ;옮긴이: 유병수,별천지,2011,9788994041322,아843-11-127
2011-05,,유아,마음의 집,문학,김희경 글 ;이보나 흐미엘레프스카 그림,창비,2010,9788936454319,아813.7-10-102
2011-05,,유아,책 읽는 왕자,문학,글: 재키 프렌치 ;그림: 수 드제나로 ;옮김: 글마음을 낚는 어부,예꿈,2011,9788992882071,아843-11-101
2011-05,,유아,꽃밭의 장군,문학,재닛 차터스 글 ;마이클 포먼 그림 ;김혜진 옮김,뜨인돌어린이,2011,9788993963335,아843-11-84
2011-05,,유아,나도 같이 놀고 싶단 말이야,문학,지음: 로렌 차일드 ;옮김: 문상수,국민서관,2011,9788911029419,아843-11-73
2011-04,,유아,엄마를 나누기는 싫어요!,문학,카트리네 마리에 굴다게르 지음 ;시리 멜키오르 그림 ;정영수 옮김,책속물고기,2011,9788994621067,아859.81-11-1
2011-04,,유아,아니야라고 말해,문학,루이사 아길라 저 ;안드레 네베스 그림 ;이경희 옮김,책단배,2011,9788994744018,아873-11-4
2011-03,,유아,샌드위치 바꿔 먹기 : 서로 다른 문화를 이해하고 존중하는 다문화 그림책,문학,"지은이: 라니아 알 압둘라 왕비,켈리 디푸치오 ;그린이: 트리샤 투사 ;옮긴이: 신형건",푸른책들,2011,9788961702089,아843-11-30
2011-03,,유아,(앤서니 브라운의) 마술 연필,문학,글·그림: 앤서니 브라운 ;옮김: 서애경,웅진씽크빅,2010,9788901113241,아843-10-497
2011-03,,유아,책청소부 소소,문학,노인경 글·그림,문학동네,2010,9788954613521,아813.7-11-15
2011-02,,유아,너는 기적이야,문학,최숙희 글·그림,책읽는곰,2010,9788993242317,아813.7-10-429
2011-02,,유아,어느 날,문학,유주연 지음,보림출판사,2010,9788943308162,아813.7-10-594
2011-02,,유아,채원이의 선물,문학,글·그림: 배지은,책단배,2010,9788994744001,아813.7-10-559
2011-01,,유아,세상에서 가장 맛있는 자장면,문학,이철환 글 ;장호 그림,랜덤하우스코리아,2010,9788925540689,아813.7-10-570
2011-01,,유아,쳇! 어떻게 알았지? : 혼자서 길을 가다가 유괴범을 물리친 빨간모자 이야기,사회과학,심미아 글·그림,느림보,2010,9788958761150,아372-10-9
2011-01,,유아,숲 속 재봉사 : 최향랑 그림책,문학,지은이: 최향랑,창비,2010,9788936454333,아813.7-10-527
2011-01,,유아,시리와 개구쟁이 훈스껠리,문학,띠나 노뽈라 글 ;메르비 린드만 그림 ;살미넨 따루 옮김,책굽는가마,2010,9788996424512,
2011-01,,유아,도서관 아이,문학,채인선 글 ;배현주 그림,한울림어린이,2010,9788991871687,아813.7-10-533
2010-12,,유아,세상이 자동차로 가득 찬다면,문학,지은이: 앨런 드러먼드 ;옮긴이: 유지연,고래이야기,2010,9788991941236,아843-10-428
2010-12,,유아,아버지의 꿈,문학,그레이엄 베이커-스미스 글·그림 ;김경연 옮김,노란상상,2010,9788996433033,아843-10-433
2010-12,,유아,안성맞춤,문학,김명희 글 ;최정인 그림,이퍼블릭,2010,9788964800676,아813.7-10-380
2010-12,,유아,멜론 먹고 싶어!,문학,전해숙 글·그림,책과콩나무,2010,9788994077154,아813.7-10-448
2010-11,,유아,내가 최고야,문학,루시 커진즈 그림·글 ;임정은 옮김,시공사,2010,9788952758552,아843-10-366
2010-11,,유아,애완 공룡 티라노,문학,글·그림: 페드로 페니조또 ;옮김: 하루,푸른날개,2010,9788993055528,아823-10-6
2010-11,,유아,노래하지 않는 피아노,문학,정명화 글 ;김지혜 그림,비룡소,2010,9788949101637,아813.7-10-427
2010-10,,유아,한밤의 고양이 극장 : 삼국지 이야기,문학,"킴 시옹,우디 지음 ;권영민 옮김",책읽는곰,2010,9788993242171,아823.7-10-16
2010-10,,유아,주전자 엄마와 이불 아빠,문학,사토신 글 ;아카가와 아키라 그림 ;김경은 옮김,책과콩나무,2010,9788994077093,아833.6-10-71
2010-10,,유아,그림자놀이,문학,지은이: 이수지,비룡소,2010,9788949112114,아813.7-10-387
2010-10,,유아,빗방울이 톡톡톡,문학,글·그림: 한지아,책단배,2010,9788996360964,아813.7-10-377
2010-09,,유아,늑대다!,문학,스테파니 블레이크 글·그림 ;김영신 옮김,한울림어린이,2010,9788991871625,아863-10-84
2010-09,,유아,내 꿈은 기적,문학,수지 모건스턴 글 ;첸 지앙 홍 그림 ;최윤정 옮김,바람의 아이들,2010,9788990878908,아863-10-59
2010-09,,유아,쓰레기가 쌓이고 쌓이면...,,글: 박기영 ;그림: 이경국,웅진씽크빅,2010,9788901108124,아400-6-109-32
2010-09,,유아,"꽃마중 : 김미혜 시인이 쓰고, 이해경 화가가 그린 우리 꽃, 우리 동시 그림책",문학,시: 김미혜 ;그림: 이해경,미세기,2010,9788980712571,아811.8-10-62
2010-08,,유아,하늘은 하늘색일까?,예술,글: 김혜원 ;그림: 루시,SBS : CreationLab ALICE,2010,9788996358916,아651-10-1
2010-08,,유아,올리비아 : 재롱 잔치,문학,팻 레스닉 글 ;패트릭 스파치안테 그림 ;김경희 옮김,효리원,2010,9788983398796,아843-10-270
2010-08,,유아,칫솔맨 도와줘요!,문학,정희재 글 ; 박선영 그림 ; 김향수 빛그림,책읽는곰,2010,9788993242225,아375.1-10-518-1
2010-07,,유아,단물 고개,문학,소중애 글 ;오정택 그림,비룡소,2010,9788949101248,아813.5-10-13
2010-07,,유아,민들레와 애벌레,문학,글 그림: 김근희,휴먼어린이,2010,9788992527293,아813.7-10-195
2010-07,,유아,(자연에서 소리로 배우는) 훈민정음ㄱㄴㄷ,어학,노정임 글 ;안경자 그림,책과함께,2009,9788991221581,아711-10-1
2010-06,,유아,"엄마, 나 똥 마려워",문학,글: 백승권 ;그림: 박재현,맹&앵,2010,9788994198040,아813.7-10-62
2010-06,,유아,할머니의 할머니의 할머니의 옷,사회과학,홍선주 지음,책읽는곰,2009,9788993242188,아381-9-9
2010-06,,유아,방귀,문학,글: 제랄딘드 콜레 ;그림: 아르노 부탱 ;옮김: 박정연,맹&앵,2010,9788994198019,아863-10-9
2010-05,,유아,거짓말,문학,글: 고대영 ;그림: 김영진,길벗어린이,2009,9788955820966,아100-16-6-1
2010-05,,유아,"아이쿠, 깜짝이야 : 맛있는 채소 이야기",순수과학,글: 빨간 게 ;그림: 장순일,포에버북스,2010,9788963431628,아480-10-2
2010-05,,유아,다람쥐와 첫눈,문학,글그림: 제바스티안 메쉔모저 ;옮김: 고은정,예림당,2009,9788930261456,아853-10-5
2010-04,,유아,넌 참 우스꽝스럽게 생겼구나!,문학,버나드 와버 글·그림 ;신형건 옮김,푸른책들,2009,9788961701013,아843-9-475
2010-04,,유아,진시황과 재주 많은 일곱 형제,문학,"마거릿 마이 글 ;진 쳉,무시엔 쳉 그림 ;홍연미 옮김",국민서관,2009,9788911028405,아843-9-481
2010-04,,유아,할머니의 요술 가방,문학,글쓴이: 김춘효 ;그린이: 김정혜,작은책방,2009,9788959791477,아813.6-9-651
2010-03,,유아,"같을까, 다를까?",사회과학,신순재 글 ;이형진 그림,한솔교육,2009,9788953564978,아375.1-10-3-1
2010-03,,유아,검은색만 칠하는 아이,문학,글: 김현태 ;그림: 박재현,맹&앵,2009,9788996288077,아813.6-9-580
2010-03,,유아,나는 따라쟁이,문학,글: 제니퍼 림 ;그림: 손미정,쿠오레,2009,9788996012740,아813.6-9-650
2010-02,,유아,우린 모두 조금씩 달라 : 작은 차이를 알려 주는 감동적인 책,사회과학,베아트리스 부티뇽 글·그림 ;권명희 옮김,북하우스 퍼블리셔스,2009,9788956053905,아375.1-9-636
2010-02,,유아,숟가락,문학,글: 에이미 크루즈 로젠탈 ;그림: 스콧 매군 ;옮긴이: 이승숙,지경사,2009,9788931921519,아843-9-581
2010-02,,유아,마법사 유치원 선생님,문학,글: 고정욱 ;그림: 김은경,여름숲,2009,9788993066074,아813.6-9-661
2010-02,,유아,냠냠!,문학,메라 버그만 글 ;닉 맬런드 그림 ;윤지영 옮김,작은책방,2009,9788959791408,아843-9-590
2010-01,,유아,이상해!,문학,나카야마 치나쓰 글 ;야마시타 유조 그림 ;고향옥 옮김,고래이야기,2009,9788991941182,아833.6-9-186
2010-01,,유아,내 동생은 고릴라입니다 : 방정화 그림책,문학,방정화 [저],미세기,2009,9788980712502,아813.6-9-633
2010-01,,유아,(세계의 신발) 누구 발일까?,사회과학,정해영 글·그림,논장,2009,9788984141155,아381-9-11
2009-12,,유아,사랑은요 ··· : 네 살배기가 들려주는 10가지 사랑 이야기,사회과학,글·그림: 마에오 케이코 ;옮김: 마츠이 미유키,예꿈,2009,9788992882576,아375.1-9-464
2009-12,,유아,미안해라고 말해 봐,문학,시빌레 리크호프 글 ;소피 쉬미트 그림 ;임정희 옮김,김영사,2009,9788934935674,아853-9-104
2009-12,,유아,감쪽같이 속았지!,문학,산이아빠 지음 ;유근택 그림,장수하늘소,2009,9788996280224,아813.6-9-314-2
2009-12,,유아,누나야 : 김홍모 그림책,문학,글·그림: 김홍모,북스,2009,9788991433830,아813.6-9-517
2009-12,,유아,케이티와 폭설,문학,버지니아 리 버튼 그림·그림 ;홍연미 옮김,시공사,2009,9788952754875,아843-9-446
2009-11,,유아,투둑 떨어진다,,글: 심조원 ;그림: 김시영,웅진씽크빅,2009,9788901100234,아470-9-15
2009-11,,유아,둥근 해가 떴습니다,문학,장경혜 지음,문학동네,2009,9788954608190,아813.6-9-467
2009-11,,유아,우렁각시,문학,김용철 글·그림,천둥거인,2009,9788990025630,아813.5-9-58
2009-11,,유아,(세상에서 제일 좋은) 우리 집,문학,글 쓰고 그린 이: 알렉스 티. 스미스 ;옮긴이: 조지흔,JDM중앙출판사,2009,9788945125002,아843-9-444
2009-11,,유아,혼자서는 살 수 없어 : 존 무스의 두번 째 선 이야기,문학,존 무스 글·그림 ;이현정 옮김,달리,2009,9788959980680,아843-9-416
2009-10,,유아,다다의 의자,문학,송혜원 지음,한솔교육,2009,9788953561090,아 813.6-9-417
2009-10,,유아,모르는 마을,문학,다시마 세이조 글·그림 ;엄혜숙 옮김,우리교육,2009,9788980404285,아833.6-9-87
2009-10,,유아,그것,문학,스테판 세르방 글 ;세실 봉봉 그림 ;김경태 옮김,북하우스 퍼블리셔스,2009,9788956053752,아863-9-110
2009-09,,유아,달려,문학,이혜리 지음 ;정병규 꾸밈,보림출판사,2009,9788943307752,아813.6-9-344
2009-09,,유아,난 밥 먹기 싫어,문학,이민혜 글·그림,시공사,2009,9788952755148,아813.6-9-293
2009-09,,유아,작지만 대단해!,문학,울리 가이슬러 글 ;귄터 야콥스 그림 ;윤혜정 옮김,미래M&B,2009,9788983945334,아853-9-54
2009-08,,유아,파도야 놀자,문학,이수지,비룡소,2009,9788949112053,아813.6-9-255
2009-08,,유아,비둘기에게 버스 운전은 맡기지 마세요!,문학,모 윌렘스 글·그림 ;정회성 옮김,살림출판사,2009,9788952211743,아843-9-214
2009-08,,유아,다 해 볼 거야!,문학,글: 마리넬라 바리가찌 ;그림: 우르술라 부쉐르 ;옮긴이: 김태은,지경사,2009,9788931920901,아883-9-10
2009-08,,유아,어둠은 무섭지 않아!,문학,글·그림: 엘라 버풋 ;옮김: 엄혜숙,대교출판,2009,9788939522121,아843-9-205
2009-07,,유아,서둘러요! 서둘러!,문학,이브 번팅 지음 ;제프 맥 그림 ;박혜수 옮김,더큰컴퍼니,2009,9788959514205,아843-9-359
2009-07,,유아,"사자야, 전화 왔어!",문학,백은하 글·그림,북하우스 퍼블리셔스,2009,9788956053325,아813.6-9-142
2009-07,,유아,고사리손 환경책 : 지구를 지키는 생활 습관 10가지,기술과학,글·그림: 멜라니 월시,웅진씽크빅,2009,9788901086088,아539-9-13
2009-07,,유아,할머니의 기억은 어디로 갔을까?,문학,멤 폭스 글 ;줄리 비바스 그림 ;조경란 옮김,북하우스 퍼블리셔스,2009,9788956053097,아843-9-139
2009-06,,유아,거울 속에 누구요?,문학,조경숙 글 ;윤정주 그림,국민서관,2009,9788911028191,아813.5-9-11
2009-06,,유아,오늘의 날씨는?,순수과학,글: 김정희 ;그림: 이른봄,삼성출판사,2008,9788915063686,아453-9-1
2009-06,,유아,높이 더 높이,문학,마리오 라모스 글·그림 ;유혜선 옮김,큰나,2008,9788960651142,아863-9-29
2009-05,,유아,반이나 차 있을까 반밖에 없을까?,문학,이보나 흐미엘레프스카 글·그림 ;이지원 옮김,논장,2008,9788984141063,아892.95-9-1
2009-05,,유아,어둠을 꿀꺽해 버린 도깨비,문학,글: 조이스 던바 ;그림: 지미 ;옮김: 김성경,예림당,2008,9788930261388,아843-9-103
2009-05,,유아,아침 해를 구한 용감한 수탉,문학,아놀드 로벨 글 ;애니타 로벨 그림 ;엄혜숙 옮김,시공사,2008,9788952753892,아843-9-37
2009-05,,유아,빨간 풍선,문학,황수민 지음,상,2008,9788991126251,아813.6-9-61
2009-04,,유아,삐뽀삐뽀 119에 가 볼래?,문학,리처드 스캐리 글·그림 ; 원지인 옮김,보물창고,2009,9788961700719,아843-9-102
2009-04,,유아,한강에는 거위가 산다 : 김점선 그림동화,문학,글: 서현숙 ;그림: 김점선,꼬마샘터 : 여백미디어,2008,9788958660569,아813.6-9-22
2009-04,,유아,베토벤의 기적 같은 피아노이사 39번,문학,조나 윈터 글 ;배리 블리트 그림 ;정지현 옮김,문학동네,2008,9788954607230,아843-9-33
2009-04,,유아,애니는 용감해,문학,저자: 데보라 닐랜드 ;역자: 조선미,크레용하우스,2008,9788955471625,아843-9-50
2009-03,,유아,마음이 쑥쑥,문학,알렉산드로 산나 글·그림 ;여우별 옮김,디씨티와이,2008,9788993169270,아883-9-1
2009-03,,유아,콩닥콩닥 콩닥병,문학,서민정 글·그림,사계절출판사,2008,9788958283270,아813.6-9-7
2009-03,,유아,꿈나라 요정 지니,문학,벌리 도허티 글 ;제인 레이 그림 ;김용인 옮김,영림카디널,2008,9788984014527,아843-9-16
2009-03,,유아,용감무쌍한 사라,문학,케빈 헹크스 글·그림 ;이경혜 옮김,비룡소,2008,9788949112015,아843-9-5
2009-02,,유아,야스퍼의 방 청소,문학,글: 마틴 베르텔젠 ;그림: 하트무트 코초크 ;옮김: 임정은,한국가드너,2008,9788961101011,아853-8-165
2009-02,,유아,하양 고양이 초롱이,문학,에이브 번바움 글·그림 ; 이명희 옮김,마루벌,2008,9788956632469,아843-8-711
2009-01,,유아,흔들흔들 다리 위에서,문학,기무라 유이치 글 ;하타 고시로 그림 ;김정화 옮김,청어람미디어,2008,9788992492461,아833.6-8-321
2009-01,,유아,호랑이 처녀의 사랑,문학,강숙인 글 ;김종민 그림,사계절출판사,2008,9788958283225,아813.5-5-72-7
2009-01,,유아,옹달샘,문학,윤석중 시 ;홍성지 그림,문학동네,2008,9788954606738,아811.8-8-127
2008-12,,유아,어린이,문학,베아트리체 알레마냐 글·그림 ;곽노경 옮김,한솔교육,2008,9788953552258,아883-8-36
2008-12,,유아,코끼리의 등,문학,아키모토 야스시 글 ;아미나카 이즈루 그림 ;엄혜숙 옮김,은행나무,2008,9788956602639,아833.6-8-176
2008-12,,유아,난 뭐든지 셀수 있어,문학,글·그림: 발레리 고르바초프 ;옮김: 안민희,예꿈,2008,9788992882323,아843-8-628
2008-11,,유아,우리는 친구,문학,글·그림: 앤서니 브라운 ;옮김: 장미란,웅진씽크빅,2008,9788901074405,아843-8-571
2008-11,,유아,송어는 나무로 만들어졌어요,순수과학,에이프릴 풀리 세이르 글 ;케이트 엔들 그림 ;황소연 옮김,파란자전거,2008,9788989192855,아497-8-8
2008-11,,유아,지바는 보트를 타고 왔어요,문학,리즈 롭트하우스 글 ;로버트 잉펜 그림 ;김현좌 옮김,봄봄출판사,2008,9788991742130,아843-8-515
2008-10,,유아,섬수리 부엉이의 호수,문학,테지마 케이자부로오 글·그림 ;엄혜숙 옮김,창비,2008,9788936445812,아833.6-8-89
2008-10,,유아,대별왕 소별왕,문학,글·그린이: 한태희,한림출판사,2008,9788970945446,아813.5-8-181
2008-10,,유아,바다가 보고 싶었던 개구리,문학,기 빌루 글·그림 ;이상희 옮김,열린어린이,2008,9788990396211,아863-8-128
2008-09,,유아,"찰칵! 펭귄아, 사진 찍자",문학,리즈 피콘 글·그림 ;곽정아 옮김,효리원,2008,9788983398703,아843-8-391
2008-09,,유아,별이 되고 싶어 : 이민희 그림책,문학,이민희,창비,2008,9788936454210,아813.6-8-431
2008-09,,유아,세 엄마 이야기,문학,신혜원 지음,사계절출판사,2008,9788958283010,아813.6-8-407
2008-08,,유아,99센티미터 한스,문학,안네테 후버 글 ;마누엘라 올텐 그림 ;조국현 옮김,토마토하우스,2008,9788992089494,아853-8-84
2008-08,,유아,달걀 도둑을 찾아라!,문학,도리스 레허 글·그림 ;고우리 옮김,북하우스,2008,9788956052441,아853-8-81
2008-07,,유아,형보다 커지고 싶어,문학,스티븐 켈로그 글·그림 ;조세현 옮김,비룡소,2008,9788949111926,아843-8-292
2008-07,,유아,입이 똥꼬에게,문학,박경효 글·그림,비룡소,2008,9788949101583,아813.6-8-336
2008-07,,유아,난 소방관이 될래요!,사회과학,리스벳 슬레거즈 글·그림 ;이영민 옮김,효리원,2008,9788983398888,아375.1-8-170-2
2008-06,,유아,친구가 올까?,문학,지은이: 우치다 린타로 ;그린이: 후리야 나나 ;옮긴이: 허찬,랜덤하우스코리아,2008,9788925518695,아833.6-8-48
2008-06,,유아,토끼씨와 거북이양,문학,파베우 파블락 그림 ;베키 블룸 글 ;김세실 옮김,시공사,2008,9788952751164,아843-8-227
2008-06,,유아,내동생 김점박,문학,글그림: 김정선,예림당,2008,9788930261326,아813.6-8-247
2008-05,,유아,잘잘잘 123 : 수 놀이 그림책,사회과학,이억배,사계절출판사,2008,9788958282792,아375.1-8-68
2008-05,,유아,심술이 붙었어요,문학,글: 타마라 와이트 ;그림: 로스 콜린스 ;옮김: 임경인,픽셀하우스,2008,9788995889732,아843-8-127
2008-05,,유아,내 거야,문학,마틸드 스테인 글 ;미스 판 하우트 그림 ;강현주 옮김,창해,2008,9788979197853,아859.3-8-3
