isbn13,description,loanCnt,keyword
9788931915693,미국의 소설가 시튼이 오랫동안 로키 산맥에서 생활하면서 관찰하고 연구하여 얻어진 수많은 동물들의 생활을 소재로 쓰여진 작품인 &lt;시튼 동물기&gt; 가운데 가장 대표작으로 일컬어지는 작품 네 편을 골라 실었다. 여러 동물들이 아름답고 광활한 대자연 속에서 함께 어울려 살아가는 모습과 이에 맞선...,2121,
9788931916645,"논술대비 세계 명작 시리즈, &lt;서유기&gt;. 중국인들에게 가장 사랑받는 &lt;서유기&gt;는 구름을 타고 다니며 온갖 재주를 부리는 손오공이 나오는 소설이다. 줄거리는 삼장 법사를 모시고 자팔계, 사오정과 함께 불경을 얻기 위해 천축으로 험난한 모험을 하게 되는 내용이다. 이 책은 아이들에게 삶의...",2794,
9788937842245,"&lt;내일은 실험왕&gt; 7권 '인체의 대결-범우주' 편에서는 우리 몸과 관련된 기본적인 내용들을 다루고 있습니다. 인체에 관한 내용은 '6학년 1학기-우리 몸의 생김새'에서 우리 몸의 골격과 각 인체 장기의 역할, 우리 몸을 이루는 기관들, 우리 몸이 자극에 반응하는 방법, 우리 몸에 필요한 영양소 등이 구체적으로 다루어져 있다.",81485,"실험,과학,인체,우주,대결,내용,아이들,영양소,훈련,POINT,역할,장기,특별,원리,이론,용어,실험왕,에릭,과정,공기,기관,골격,교과서,반응,소화,체득,만화,키트,주인공,음식,실험 키트,허파,새벽초,압력,암기,감각,학습,핵심,검출,실험반,최고,인체의 대결범우주,선생님,친구,개인,흥미,보고,설명,성과,관심"
9788962618631,"더 폭넓은 구성, 더 풍부한 최신 정보, 친절한 사회 개념어 풀이, 개정 초등 통합 교과서와 유치원 누리과정에 수록된 노래를 이용하여 탄탄하게 사회의 기초를 터득하는 &lt;통누리 똑똑한 사회씨&gt; 4.소바리 마을 신문  똑똑한사회씨가 들려주는 어촌 이야기(세이펜 적용)  우리나라는 동해, 서해, 남해로...",5622,
9788962618754,"더 폭넓은 구성, 더 풍부한 최신 정보, 친절한 사회 개념어 풀이, 개정 초등 통합 교과서와 유치원 누리과정에 수록된 노래를 이용하여 탄탄하게 사회의 기초를 터득하는 &lt;통누리 똑똑한 사회씨&gt; 16.이상한 꿈  똑똑한사회씨가 들려주는 미래 생활 이야기(세이펜 적용)  알약 하나에 모든 병이 낫고...",3873,
9788962618853,"더 폭넓은 구성, 더 풍부한 최신 정보, 친절한 사회 개념어 풀이, 개정 초등 통합 교과서와 유치원 누리과정에 수록된 노래를 이용하여 탄탄하게 사회의 기초를 터득하는 &lt;통누리 똑똑한 사회씨&gt; 26.한옥  똑똑한사회씨가 들려주는 우리 집 이야기(세이펜 적용)  조상들의 지혜를 엿볼 수 있는 흔적은 참...",3376,
9788962619218,더똑똑한사회씨가 들려주는 아프리카 이야기(세이펜 적용)  아프리카는 세계에서 두 번째로 큰 땅이야.  드넓은 초원에서 야생 동물이 뛰노는  신비로운 땅이기도 해. 금과 다이아몬드 같은  자원들이 묻혀 있는 땅이기도 하지.  이곳에 사는 사람들의 모습은 아주 다양해.  자연을 벗삼아 사는 민족도 있고...,2169,
9788962619331,'사회'를 꿀꺽 삼킨 더 똑똑한 사회 그림책  The 똑똑한 사회씨   * 명작 동화로 풀어 보는 사회 이야기  &lt;잭과 콩나무&gt;의 잭은 거인의 닭을 훔쳐 온 후 어떻게 되었을까요? &lt;와글와글 법정&gt;에서 쟁의 이야기가 펼쳐져요. 명작과 사회가 만나 가 되었답니다.   * 동화 속 주인공이 알려 주는 사회 이야기...,3190,
9788992972123,"동물들이 어떻게 사는지를 어린이에게 친절히 설명해 주는 책이다. 도시에서도 흔하게 볼 수 있는 개, 동물원에서 볼 수 있는 코끼리, 수족관에서 볼 수 있는 해마, 하늘을 가르는 철새까지 이 책에는 많은 동물들의 이야기가 펼쳐진다. '도마뱀은 꼬리가 잘려도 살 수 있을까요. 토끼는 왜 자신의 똥을 먹을까요....",833,
9788962618938,"더 폭넓은 구성, 더 풍부한 최신 정보, 친절한 사회 개념어 풀이, 개정 초등 통합 교과서와 유치원 누리과정에 수록된 노래를 이용하여 탄탄하게 사회의 기초를 터득하는 &lt;통누리 똑똑한 사회씨&gt; 34.우리나라가 열린 이야기  똑똑한사회씨가 들려주는 건국 신화 이야기(세이펜 적용)  곰이 사람으로 변하고...",3095,
9788962619058,"더 폭넓은 구성, 더 풍부한 최신 정보, 친절한 사회 개념어 풀이, 개정 초등 통합 교과서와 유치원 누리과정에 수록된 노래를 이용하여 탄탄하게 사회의 기초를 터득하는 &lt;통누리 똑똑한 사회씨&gt; 46.어디에서 올까요 누가 만들까요  똑똑한사회씨가 들려주는 산업 이야기(세이펜 적용)  안녕! 주변을 한번...",2339,
9788962619249,더똑똑한사회씨가 들려주는 세계의 박물관 이야기(세이펜 적용)  옛날 사람들은 어떻게 살았을까?  옛날 사람들을 만날 수 있는 곳이 있어. 바로 박물관이야.  사람이 살았던 여러 흔적을 모아 놓은 곳이기 때문이지.  세계 여러 나라에는 유명한 박물관이 참 많아.  거대한 그리스 신전의 흔적부터  작은 항아리까지...,2289,
9788963296142,'YES! 과학이 최고야' 시리즈는 국내 최고 작가들이 과학을 재미있는 이야기로 풀었다. 재미있는 동화를 통해 자연스럽게 과학적 개념을 알게 된다. 유치원과 초등학교의 과학 교육 과정과 연계되어 있다. 꼭 알아야 할 과학적 개념들을 쉽고 체계적으로 소개한다.,1154,
9788980713042,세계 여러 나라에 살고 있는 동물들을 만나 보면서 모두 1001개의 숨은 그림 찾기를 할 수 있도록 구성했다. 모두 다른 서식지에 생김새도 다양한 동물들 보는 재미에 숨은 그림 찾기가 더해져 아이들에게 신나는 책 보기 시간이 되어 준다.,371,
9788926201022,"생생하고 또렷한 100가지 동물 사진이 담긴 커다란 유아용 사진책(보드북). 자주 볼 수 있는 동물부터 실제로 보기 힘든 동물까지 다양한 동물들의 생김새와 이름을 큼직하고 선명한 사진을 보며 익힐 수 있다. 또한 농장, 숲 속, 바다 속, 추운 지방, 정글 등 사는 곳에 따라 분류되어 있어 기초적인 분류 개념도 익힐 수 있다.",3011,"동물,분류,애플비,애플비  편,사진,유아학습,교양 학습 그림책,유아용,이름,정글,생생,생김새,사진책,100가지,보드북,바다,다양,농장,기초적,개념,지방"
9788930204385,"우리 아기 첫 소리나는 그림책 시리즈 동물편. 아기들이 좋아하는 동물 개, 닭, 고양이, 오리, 말, 염소, 소, 돼지의 이름과 생김새를 익히고 울음소리도 들어 볼 수 있는 소리나는 그림책이다.",86,
